Cut-Off,# Top Pred in Cut-Off,Ratio: Top Pred in Cut-Off,# Top Diff in Cut-Off,Ratio: Top Diff in Cut-Off,# Samples
196,183,0.93,181,0.92,211
197,185,0.94,183,0.93,211
198,187,0.94,185,0.93,211
199,188,0.94,187,0.94,211
200,190,0.95,189,0.94,211
201,192,0.96,191,0.95,211
202,193,0.96,193,0.96,211
203,195,0.96,195,0.96,211
204,197,0.97,197,0.97,211
205,199,0.97,199,0.97,211
206,201,0.98,201,0.98,211
207,203,0.98,203,0.98,211
208,205,0.99,205,0.99,211
209,207,0.99,207,0.99,211
210,209,1.0,209,1.0,211
211,211,1.0,211,1.0,211
