,Cut-Off,# Top Pred in Cut-Off,Ratio: Top Pred in Cut-Off,# Top Diff in Cut-Off,Ratio: Top Diff in Cut-Off,# Samples
173,174,145,0.83,147,0.84,211
174,175,147,0.84,149,0.85,211
175,176,147,0.84,150,0.85,211
176,177,148,0.84,150,0.85,211
177,178,150,0.84,151,0.85,211
178,179,152,0.85,153,0.85,211
179,180,154,0.86,154,0.86,211
180,181,156,0.86,155,0.86,211
181,182,158,0.87,157,0.86,211
182,183,160,0.87,159,0.87,211
183,184,162,0.88,161,0.88,211
184,185,164,0.89,163,0.88,211
185,186,166,0.89,164,0.88,211
186,187,168,0.9,166,0.89,211
187,188,170,0.9,168,0.89,211
188,189,172,0.91,170,0.9,211
189,190,174,0.92,172,0.91,211
190,191,176,0.92,174,0.91,211
191,192,177,0.92,176,0.92,211
192,193,179,0.93,178,0.92,211
193,194,181,0.93,180,0.93,211
194,195,183,0.94,182,0.93,211
195,196,184,0.94,184,0.94,211
196,197,186,0.94,186,0.94,211
197,198,186,0.94,186,0.94,211
198,199,188,0.94,188,0.94,211
199,200,190,0.95,190,0.95,211
200,201,192,0.96,192,0.96,211
201,202,194,0.96,194,0.96,211
202,203,195,0.96,195,0.96,211
203,204,197,0.97,197,0.97,211
204,205,199,0.97,199,0.97,211
205,206,201,0.98,201,0.98,211
206,207,203,0.98,203,0.98,211
207,208,205,0.99,205,0.99,211
208,209,207,0.99,207,0.99,211
209,210,209,1.0,209,1.0,211
210,211,211,1.0,211,1.0,211
