Cut-Off,# Top Pred in Cut-Off,Ratio: Top Pred in Cut-Off,# Top Diff in Cut-Off,Ratio: Top Diff in Cut-Off,# Samples
196,182,0.93,195,0.99,211
197,184,0.93,197,1.0,211
198,186,0.94,197,0.99,211
199,188,0.94,197,0.99,211
200,189,0.94,198,0.99,211
201,191,0.95,199,0.99,211
202,193,0.96,200,0.99,211
203,195,0.96,201,0.99,211
204,197,0.97,202,0.99,211
205,199,0.97,203,0.99,211
206,201,0.98,204,0.99,211
207,203,0.98,206,1.0,211
208,205,0.99,208,1.0,211
209,207,0.99,209,1.0,211
210,209,1.0,209,1.0,211
211,211,1.0,211,1.0,211
